236,drink,zhe,thung,ཞེས་,འཐུང་,2001
237,get up,shangs,Long,བཞངས་,ལོང་,2001
238,sleep,zim,nyal,ཟིམ་,ཉལ་,BLDWG
239,,,,,,
240,hold,she ,she,ཤེ་,ཤེ་,BLDWG
241,lie , zim,nyi,ས་ཀ་ཟིམ་,ས་ཀ་ཉི་,BLDWG
242,listen,nyenbo,senpo,ཉན་བོ་,གསན་པོ་,2001
243,speak,songbona,lap,གསུངས་བོ་ན་,ལབ་བོ་ན་,BLDWG
244,be quiet,,"ur ma gyab, kha tsum",,"ཨུར་མ་གྱབ་, ཁ་ཚུམ་",BLDWG
245,run,Gyuk,Gyuk,གྱུག་,གྱུག་,BLDWG
246,sit,zhu,den,ཞུགས་,དེན་,BLDWG
247,stand,yarshangs,longs,ཡར་བཞངས་,ལོངས་,2001
248,walk - to talk,"gompo, ghom po",,"བགོམ་པོ་,  གོམ་པོ་",བགོམ་པོ་,"2001, 2004 [2005]"
249,tell,song,lap,གསུངས་,ལབ་,BLDWG
250,mud,dam-pa,,འདམ་པག་,འདམ་པག་,2001
251,dirt,drag-ka,,དྲག་ཀ་,,2001
252,earth,sashi,,ས་གཞི་,,2001
253,dust,teou,,ཐེའོ་,,BLDWG
254,fire,mea,,མེ་,,2001
255,grass,yusm,,ཡུས་མ་,,2001
256,plant,shing,,ཤིང་,,BLDWG
257,hail,so,,སོ་,,BLDWG
258,"ice, snow","kawo, khawo",,ཁ་བོ་,,2004 [2005]
259,metal,chak,,ལྕགས་,,BLDWG
260,liquid,chu,,ཆུ་,,BLDWG
261,water,chu,chhab,ཆུ་,ཆབ་,2001
262,moon,dawa,,ཟླ་བ་,,2001
263,sun,nyema,,ཉི་མ་,,2001
264,rock,do,,རྡོ་,,BLDWG
265,rainbow,ja,,འཇའ་,འཇའ་,2001
266,sky,kha,,མཁའ་,,2001
267,star,karma,,ཀ་རྨ་,,2004 [2005]
268,tree,shing,,ཤིང་,,2001
269,wind,lhung-ma,,རླུང་མ་,,2001
270,rain,chhar-po,,ཆར་པོ་,,2001
271,"seasons, period of time, era",dhue-tsams,,དུས་ཚམས་,,2001
272,summer,byar,,དབྱར་,,2001
273,winter,"guen, gun",souka,དགུན་,སེ་ཀ་,"2001, 2004 [2005]"
274,autumn,toenka,,སྟོན་ཀ་,སྟོན་ཀ་,2001
275,spring,"chika, cheka",,དཔྱིད་ཀ་,,2001
276,appearance,"zhota, zob-tra",,བཟོ་ལྟ་,,2001
277,colour,dog,,མདོག་,མདོག་,2001
278,red,mar-po,,དམར་པོ་,,2001
279,black,nakku,,ནགས་གོ་,,BLDWG
280,white,"kar, karpo","kar, karpo","དཀར་, དཀར་པོ་","དཀར་, དཀར་པོ་",2001
281,yellow,searpo,,སེར་པོ་,,2001
282,blue,ngon po,,སྔོན་པོ་,,2004 [2005]
283,orange,tsalum,,ཚ་ལུམ་,,2001
284,green,jang-ku,,ལྗང་ཀུ་,,2001
285,purple,"gya-muk, gya mug",,རྒྱ་མུག་,,2001
286,pink,mar-khya,,དམར་སྐྱ་,,2001
287,silver,ngul,,དངུལ་,,BLDWG
288,gold,ser,,གསེར་,,2001
289,brown,mug po,,སྨྱུག་པོ་,,BLDWG
290,humans,mi,,མི་,,BLDWG
291,"progress, develop",yargay,,ཡར་རྒྱས་,,BLDWG
292,same,dra-o,,འདྲ་བོ་,,BLDWG
293,different,khet,,ཁྱད་,,2004 [2005]
294,content,kar chhag,,ཀར་ཆག་,,2004 [2005]
295,mouse,ding-jing,,དིང་ཇིང་,,BLDWG
296,rat,byi-tsi,,བྱི་ཙི་,,2001
297,fox,"wa, wam",,"ཝ་, ལྦམ་, ལྦ",,2001
298,deer,sha-ow,,ཤ་བོ་,,2001
299,bear,dhom,,དོམ་,,2001
300,snake,byew,,སྦྱིའུ་,,2001
301,scorpion,"dik sing, dig shing",,སྡིག་སྲིང་,,BLDWG
302,spider,bag-rag,,བག་ཧྲག་,,2001
303,ant,gyuma,,གྱུ་མ་, ,BLDWG
304,mosquito,"cha phi, chafi, dhug-byam",,"ཅ་ཕྱི་, དུག་སྦྱམ་",,"2001, 2004 [2005]"
305,butterfly,byam lab,,སྦྱམ་ལྷབ་,,BLDWG
306,cold,"khyag, khyag",,"ཁྱག་, ཁྱག་",,"2001, 2004 [2005]"
307,hot,tsha drag,,ཚ་དྲགས་,,2001
308,rain,"chab, char, charpo",,"ཆབ་, ཆར་, ཆར་པོ་",,BLDWG
